기업명,주요사업,투자자,단계,신규,주차
기업명,주요사업,투자자,단계,신규,주차
크레온유니티,금융권 정보기술(IT) 유통·통합 유지보수 전문기업,IBK벤처투자,시리즈A,300.0억,3주차
엔라이튼,에너지 기후테크 기업,템플턴하나자산운용,시리즈C,300.0억,3주차
아이디어스투실리콘,시스템반도체 설계기업,HGI,시리즈A,180.0억,3주차
한국딥러닝,공공·기업용 시각지능 AI 솔루션 기업,트랜스링크인베스트먼트, SV인베스트먼트,시리즈A,120.0억,3주차
그레이스,생활용품, 화장품 전문 유통사,청담인베스트먼트, DS투자파트너스,시리즈B,117.0억,3주차
망고부스트,데이터센터 가속기 설계 업체,아이온자산운용,시리즈B,100.0억,3주차
RXC,리테일 미디어 플랫폼 '프리즘(PRIZM)' 운영사,LB인베스트먼트, 제트벤처캐피탈(ZVC), GS벤처스,한국벤처투자, 에이피알(APR) 등,시리즈A,70.0억,3주차
SML메디트리,임상시험 검체분석 전문기업,유투바이오,-,63.0억,3주차
에니아이,로봇키친 스타트업,산업은행,프리A,50.0억,3주차
위드포인츠,모듈형 로봇 자동화 플랫폼 운영사,퓨처플레이, 위벤처스, 은행권청년창업재단(디캠프) 등,프리A,40.0억,3주차
오믹스AI,정밀의료 AI 데이터 전문기업,온코크로스,시드,20.0억,3주차
아이솔,AI 로봇 스타트업,오라클벤처투자,시리즈A,20.0억,3주차
팝업스튜디오,'바이브 코딩(Vibe Coding)' 플랫폼 개발사,트랜스링크인베스트먼트,시드,15.0억,3주차
펩,하이브리드 캐주얼 게임 개발사,크릿벤처스,시드,10.0억,3주차
리보디스,소프트 웨어러블 로봇 스타트업,베이스벤처스,시드,5.0억,3주차
큐솔루션즈,사물인터넷(AloT) 기반 맞춤형 실내환경 자율제어 기술 기업,한국과학기술지주,시드,2.0억,3주차
엘피지오웰니스,비침습 메디컬 뷰티 기업,케이푸드스타 SAP-YNA 개인투자조합 제1호,시드,1.0억,3주차
얼맥당,스몰비어 프랜차이즈,케이푸드스타 SAP-YNA 개인투자조합 제1호,프리A,비공개,3주차
세상을바꾸는사람들,AI 기반 전력 예측 및 가변전력제어 기술기업,젠엑시스,프리A,비공개,3주차
랩인큐브,MOF 기반 소재 개발사,메타바이오메드,시리즈A,비공개,3주차
열다컴퍼니,정리수납 기반의 구독형 홈케어 플랫폼 '열다' 운영사,서울대학교기술지주,시드,비공개,3주차
에봄에이아이,의료 AI 스타트업,끌림벤처스,시드,비공개,3주차
요양의정석,데이터 기반 시니어 테크 스타트업,서울대기술지주,시드,비공개,3주차
커버써먼,라이프스타일 테크 기업,인터베스트,시리즈A,비공개,3주차
에이뉴프로덕션,XR·버추얼 기술을 접목한 가족뮤지컬 '닥터 두리틀' 제작사,씨엔티테크,시드,비공개,3주차
어피닛,핀테크 솔루션 '트루밸런스' 운영 스타트업,빅무브벤처스,프리IPO,비공개,3주차
열다컴퍼니,정리수납 기반 구독형 홈케어 플랫폼 '열다' 운영사,서울대기술지주,시드,비공개,3주차
매머드커피,중저가 커피 프랜차이즈,오케스트라프라이빗에쿼티,M&A,-,3주차
```csv
기업명,주요사업,투자자,단계,신규,주차
어피닛,소액대출 서비스 핀테크 기업,미래에셋벤처투자, 스마일게이트인베스트먼트, 코오롱인베스트먼트 등,프리IPO,300.0억,1주차
인티그레이션,메디테크 스타트업,네이버,시리즈D,275.0억,1주차
인포유금융서비스,독립법인보험대리점(GA),데일리파트너스,시리즈A,200.0억,1주차
메이사,드론·위성 공간 분석 인공지능(AI) 기업,LIG넥스원-IBK캐피탈 방산혁신 펀드, GVA자산운용,NH헤지자산운용, 페인터즈앤벤처스, 비전에쿼티파트너스, 트라이앵글파트너스, 아이디벤처스 등,프리IPO,100.0억,1주차
베디베로,선글라스 제조업체,화인자산운용, KB인베스트먼트,시리즈A,100.0억,1주차
블루포인트,딥테크 액셀러레이터,제트벤처캐피탈, 인바디,프리IPO,100.0억,1주차
하이마루컴퍼니,AI 인플루언서 플랫폼 개발사,SB파트너스, 스마트스터디,시리즈A,80.0억,1주차
디앤티테크솔루션,산업 공정 자동화 솔루션 개발기업,리인인베스트먼트, L&S벤처캐피탈, 킹고투자파트너스 등,프리A,64.0억,1주차
뉴라텍,국내 유망 통신 반도체 기업,솔루엠,시리즈B,30.0억,1주차
도데솔루션,친환경 특수화학소재 기업,와이앤아처·중진공,프리A,5.0억,1주차
알엑스바이오,마이크로리보핵산(miRNA) 기반 반려동물 당뇨·비만 치료제 개발 기업,기술보증기금,시드,5.0억,1주차
소담소담,프리미엄 육가공 및 가정간편식(HMR) 전문 제조기업,엠와이소셜컴퍼니, 기술보증기금, 크립톤,프리A,비공개,1주차
프로스앤코,저압축 골프공 브랜드,씨앤티테크,시드,비공개,1주차
나루씨큐리티,AI 기반 네트워크 보안 분야 전문기업,코오롱인베스트먼트, 에이치비인베스트먼트, 티케이지벤처스,시리즈B,비공개,1주차
파이토소울,지속가능 향원 프래그런스 브랜드,MYSC·다날투자파트너스,시드,비공개,1주차
캔디옵틱스,광학 렌즈 토털 솔루션 기업,광주연합기술지주, 전남대기술지주, 한국엔젤투자협회, 엔슬파트너스, 신용보증기금, 제이에스벤처스,프리A,비공개,1주차
드래프타입,빅데이터·AI 기반 종합 광고 솔루션 기업,일신창업투자,시리즈A,비공개,1주차
솔라라이즈,지능형 태양광 인버터 기업,BNK벤처투자, Sema Investment, 인라이트 벤처스, 기술보증기금, 포스텍홀딩스,시리즈A,비공개,1주차
뉴타입인더스트리즈,방위산업 AI 스타트업,블루포인트파트너스, 더넥스트랩, 명신정보통신,시리즈A,비공개,1주차
애즈위메이크,디지털 전환(Digital Transformation) 통합 관리 솔루션 '큐마켓' 운영사,솔루엠, 엑스플로인베스트먼트, 플랜에이치벤처스, 한국대안투자자산운용,시리즈C,비공개,1주차
펩티르나테라퓨틱스,siRNA(small-interfering RNA) 약물전달체 개발 기업,와우파트너스,시드,비공개,1주차
에스티리테일,농식품 세이빙테크 기업,엠와이소셜컴퍼니,프리A,비공개,1주차
홍시궁,전주를 기반으로 하는 디저트 브랜드,엠와이소셜컴퍼니,시드,비공개,1주차
CSP,로컬 커뮤니티 기반 벤처스튜디오,엠와이소셜컴퍼니,-,비공개,1주차
엑스닷츠,양자기술 기반 에너지 최적화 솔루션 개발사,제이엔피글로벌,-,비공개,1주차
해바캄,AI·IoT 기반 스마트 방역 솔루션 기업,엠와이소셜컴퍼니,시드,비공개,1주차
반야AI,온프레미스(내부망) 방식 코딩 AI(인공지능) 솔루션 '코드파일럿'을 개발 스타트업,아이티센글로벌,시드,비공개,1주차
페리오니어,급진성치주염 진단 및 치료기술 개발 기업,엠와이소셜컴퍼니,시드,비공개,1주차
무인화연구소,무인화 솔루션 스타트업,엠와이소셜컴퍼니,시드,비공개,1주차
하이파이브랩,MPC 기술 기업,DSRV,M&A,-,1주차
스카이인텔리전스,인공지능(AI) 테크 솔루션 기업,SKAI월드와이드,M&A,-,1주차
```
기업명,주요사업,투자자,단계,신규,주차
이노서스,미용 의료기기 스타트업,알토스벤처스 등,시리즈A,142.0억,5주차
모비루스,농기계분야 자율주행 스타트업,원익투자파트너스,시리즈A,70.0억,5주차
오픈마일,정보기술(IT) 기반 모빌리티 통합 관리 설루션 기업,어니스트-신영 페이스 메이커 투자조합,프리IPO,50.0억,5주차
엘리시전,유전자 치료제 전문기업,데일리파트너스-NH투자증권,시리즈C,50.0억,5주차
로카101,프리미엄 고시원 브랜드 운영사,콜즈다이나믹스,프리A,10.0억,5주차
르몽,외식업 인공지능(AI) 전문 스타트업,디캠프와, 블루포인트파트너스,프리A,10.0억,5주차
소프트웨어융합연구소,비침습 인공지능(AI) 자가혈당 측정기 개발기업,오라클-벡터지역혁신펀드,시드,3.0억,5주차
모프시스템즈,방위 산업 및 미국 제조업 데이터 통합 플랫폼 개발사,매쉬업벤처스, 500글로벌,시드,비공개,5주차
두리컴퍼니,영유아식 스타트업,더벤처스,시드,비공개,5주차
팩타고라,AI 신뢰성 기술 스타트업,플러그 앤 플레이,시드,비공개,5주차
르페르소나,프리미엄 니치 브랜드 향수 브랜드,스마트스터디벤쳐스,프리A,비공개,5주차
큐투컷,숏폼 AI 스타트업,제주창조경제혁신센터,시드,비공개,5주차
레오스페이스,국내 소형위성 탑재체 전문기업,AP위성,프리A,비공개,5주차
다다닥헬스케어,비대면 소아과 의료기기 및 의료서비스 기업,엠와이소셜컴퍼니, 비티비벤처스, 서울대학교기술지주등,시드,비공개,5주차
헥사휴먼케어,웨어러블 로봇 기술,형지,시리즈C,비공개,5주차
수앤캐롯츠,국내 최대 외국인 커뮤니티 앱 'Soo House(수하우스)' 운영사,김기사랩,시드,비공개,5주차
에이센텍,엣지 AI 기반 레이더·비전 융합 센서 솔루션 개발사,제이엔피글로벌,시드,비공개,5주차
오픈웨딩,스몰웨딩 플랫폼 '오딩' 운영사,월드플로라,시드,비공개,5주차
엔포러스,고온수전해(SOEC) 솔루션 기업,블루포인트파트너스,시드,비공개,5주차
모놀리,딥테크 스타트업,스톤브릿지벤처스, LF인베스트먼트, 오티엄캐피탈, 아시아투지(Asia2G),프리A,비공개,5주차
PGT,특수정밀화학 제조사,동화일렉트러라이트,시리즈E,비공개,5주차
스튜디오에피소드,웹콘텐츠 제작사,캐리소프트,M&A,-,5주차
기업명,주요사업,투자자,단계,신규,주차
SDT,양자기술 전문기업,프랙시스캐피탈파트너스, NH투자증권,프리IPO,300.0억,4주차
부스터스,AI기반 마케팅 전문 기업,SBI인베스트먼트,시리즈 C,200.0억,4주차
에이더엑스,AI 인프라 솔루션 전문기업,스마일게이트인베스트먼트, 알토스벤처스, 한국산업은행,프리 A,100.0억,4주차
컨트로맥스, ,블루버스인베스트먼트, 에스벤처스, 케이씨투자파트너스, 오엔벤처투자, 산은캐피탈 등,시리즈 B,85.0억,4주차
신스타프레젠츠,푸드테크 스타트업,한국투자파트너스, 인라이트벤처스, 트랜스링크인베스트먼트,시리즈 B,82.0억,4주차
콕스웨이브,AI 제품 분석 플랫폼 얼라인(Align) 운영사,L&S벤처캐피탈, KB인베스트먼트, 현대기술투자, 현대자동차 제로원벤처스, 산은캐피탈 등,프리 A,70.0억,4주차
데이터얼라이언스,인공지능(AI) 인프라 기업,TS인베스트먼트,프리 A,30.0억,4주차
브라이토닉스이미징,양자방출단층촬영 시스템개발기업,K2인베스트먼트,시리즈 B,30.0억,4주차
스마트아크,양상추 특화 인공지능 스마트팜 기업,광주연합기술지주, 와이앤아처, AC패스바인더, 로간벤처스,프리 A,20.0억,4주차
구하다,이커머스 플랫폼 운영기업,루미나스 캐피탈,시리즈 B,20.0억,4주차
미스릴,AI 기반 산업안전 솔루션 기업,엑스플로인베스트먼트,프리 A,10.0억,4주차
에스와이유,AI 에이전트 기반 업무자동화 플랫폼 기업,선보엔젤파트너스, 시리즈벤처스,시드,8.0억,4주차
투모로우,핀테크 스타트업,SJ투자파트너스,시드,5.0억,4주차
비바트로로보틱스,재활, 시니어 로봇 헬스케어 그룹,카이트창업가재단, 삼익매스벤처스, 엔브이씨파트너스,시드,5.0억,4주차
웨이크,푸드테크 스타트업,더벤처스, 신세계그룹 CVC, 시그나이트파트너스,프리 A,비공개,4주차
솔라토즈,기후테크 스타트업,서울대학교기술지주,시드,비공개,4주차
플로라운지,화훼유통 스타트업,씨엔티테크,프리 A,비공개,4주차
이퀄테이블,탄소저감커피 데이터 솔루션 기업,큐네스티, 서울창조경제혁신센터,프리 A,비공개,4주차
엘바,시각적 피드백 기반의 영상 수정 생성형 AI 기술 개발사,시리즈벤처스,시드,비공개,4주차
아워스팟,초등돌봄 솔루션,서울대기술지주,시드,비공개,4주차
포비콘,AI 건설 스타트업,엑스플로인베스트먼트, 마젤란기술투자,프리 A,비공개,4주차
디나미스원,서브컬처 전문 개발사,NC소프트,시리즈 A,비공개,4주차
덱사스튜디오,MMORPG 전문 개발사,NC소프트,시드,비공개,4주차
윔,로봇 제어 플랫폼 스타트업,씨엔티테크,시드,비공개,4주차
Legion Health,비대면 정신건강클리닉,지디벤처스,프리 A,비공개,4주차
타이디비,AI 기반 브랜딩 자동화 SaaS 스타트업,씨엔티테크, 제이에스어소시에이츠,-,비공개,4주차
아이씨피,간편결제 솔루션 기업,오퍼스프라이빗에쿼티,M&A,-,4주차
한양로보틱스,로봇·자동화 전문기업,나우로보틱스,M&A,-,4주차
라이드플럭스,자율주행 무인화 전환 기업,에이티넘인베스트먼트, 산업은행,프리IPO,200.0억,2주차
어니스트AI,국내 인공지능(AI) 기반 온라인투자연계 플랫폼 기업,아톤 등,시리즈 C,144.0억,2주차
아울바이오,장기지속형 플랫폼 기업,메디치인베스트먼트, IBK캐피탈,시리즈 C,112.0억,2주차
팡세,세포배양육 스타트업,엑스쿼어드, 인라이트벤처스, 농협은행, 나이스투자파트너스, 비에이파트너스, 키로스벤처투자,시리즈 A,65.0억,2주차
주미당,향미(향·맛) 생성 AI 기술을 개발사,알바트로스인베스트먼트, 위벤처스, 인터밸류파트너스, 비하이인베스트먼트,프리 A,55.0억,2주차
로볼루션,산업용 로봇 및 제조공정사,경남벤쳐투자, 코업파트너스,프리 A,20.0억,2주차
공감오래콘텐츠,게임전문 AI 개발 솔루션 제공사,스마트스터디벤처스,시드,3.0억,2주차
엠바스,AI 노코드 플랫폼,부산대학교기술지주,시드,3.0억,2주차
바이오컴,AI 헬스케어 기업,NH농협은행, 나이스투자파트너스, 신한벤처투자,시리즈 A,비공개,2주차
산군,건설 빅데이터 플랫폼 '산업의역군' 운영사,현대투자파트너스, 에이치지이니셔티브(HGI), 미국계VC(벤처캐피탈) 스트롱벤처스,시리즈 A,비공개,2주차
소서릭스코리아,자율형 스마트홈 기술개발 스타트업,네이버 D2SF,시리즈 A,비공개,2주차
메디커넥터,정밀 의료기기 제조기업,인라이트벤처스,시리즈 A,비공개,2주차
로보에테크놀로지,로봇소프트웨어 기업,티에이드어드바이저, IMM인베스트먼트, 티인베스트먼트,시리즈 A,비공개,2주차
엘케이벤처스,글로벌 셀프 포토 스튜디오 브랜드 인생네컷 운영사,하이마루컴퍼니,시리즈 A,비공개,2주차
더블티,AI 산업안전 기업,슈미트 등,시리즈 A,비공개,2주차
십일리터,반려동물 헬스케어 스타트업,AC패스파인더,프리 A,비공개,2주차
내일테크놀로지,질화붕소나노튜브 양산 기술 기업,대전투자금융,시리즈 A,비공개,2주차
